Vehicle Type,Make,Model,Year,Price,Milleage,District,published date
Car,Nissan,Caravan,1994.0,"Rs. 7,800,000",412000.0,Chilaw,2025-12-14
Motorbike,Bajaj,CT-100,2007.0,"Rs. 195,000",87000.0,Kandy,2025-12-14
Van,Nissan,Serena,2000.0,"Rs. 3,500,000",,Boralesgamuwa,2025-12-14
,IHI,30JX,1996.0,"Rs. 1,450,000",,Puttalam,2025-12-14
Motorbike,Yamaha,Alpha,2015.0,"Rs. 315,000",45000.0,Minuwangoda,2025-12-14
Car,Datsun,Redi-GO,2017.0,"Rs. 3,490,000",87490.0,Malabe,2025-12-14
Car,Hyundai,Matrix,2002.0,"Rs. 2,875,000",89000.0,Colombo,2025-12-14
Car,Daihatsu,Daihatsu,1992.0,Negotiable,,Balangoda,2025-12-14
SUV,Mahindra,KUV 100,2021.0,"Rs. 5,790,000",54800.0,Malabe,2025-12-14
SUV,Honda,Vezel Z Grade,2014.0,"Rs. 9,500,000",96181.0,Colombo,2025-12-14
Car,Toyota,Axio G Grade,2010.0,"Rs. 7,250,000",280000.0,Kandy,2025-12-14
Van,Suzuki,Every DA17,2016.0,"Rs. 5,625,000",123000.0,Dehiwala-Mount-Lavinia,2025-12-14
SUV,Mitsubishi,Montero V6,2001.0,"Rs. 12,080,000",198000.0,Kandy,2025-12-14
Car,Suzuki,Alto,2019.0,"Rs. 4,390,000",61926.0,Nugegoda,2025-12-14
SUV,Hyundai,Tucson,2011.0,"Rs. 7,300,000",112000.0,Kandy,2025-12-14
Car,Volvo,740 GLE,1989.0,Negotiable,120000.0,Malabe,2025-12-14
Three Wheel,Bajaj,RE,2018.0,"Rs. 1,655,000",32000.0,Welimada,2025-12-14
Motorbike,Hero,Dash,2016.0,"Rs. 275,000",35000.0,Kalutara,2025-12-14
Van,Micro,MPV Junior,2004.0,"Rs. 695,000",12345.0,Colombo,2025-12-14
Van,Suzuki,Every Join,2015.0,"Rs. 5,975,000",60000.0,Kurunegala,2025-12-14
Car,Toyota,Corona AT 150,1987.0,"Rs. 1,250,000",,Katunayake,2025-12-14
Motorbike,Bajaj,Pulsar 150,2010.0,"Rs. 342,000",,Gampaha,2025-12-14
Car,Nissan,March K11,2001.0,Negotiable,22222.0,Wattala,2025-12-14
Motorbike,Honda,AX-1,2002.0,"Rs. 550,000",50000.0,Colombo,2025-12-14
Car,BMW,320i,2011.0,Negotiable,97000.0,Colombo,2025-12-14
Car,Kia,Picanto,2016.0,"Rs. 5,790,000",77000.0,Malabe,2025-12-14
Motorbike,Suzuki,GN 125,2014.0,"Rs. 530,000",12345.0,Kurunegala,2025-12-14
Car,Suzuki,Alto,2004.0,Negotiable,,Kandy,2025-12-14
Bus,Mitsubishi,Rosa 29,2010.0,Negotiable,7200.0,Galle,2025-12-14
Car,Honda,Civic EX Tech Pack,2018.0,"Rs. 13,000,000",58400.0,Dehiwala-Mount-Lavinia,2025-12-09
Car,Mercedes-Benz,E200,1998.0,"Rs. 5,500,000",80000.0,Colombo,2025-12-12
Car,Daihatsu,Mira X Limited LED Version,2023.0,"Rs. 6,650,000",10000.0,Colombo,2025-12-14
Van,Toyota,KDH,2025.0,"Rs. 30,200,000",,Welisara,2025-12-08
Bus,Mitsubishi,Rosa 29,2010.0,Negotiable,7200.0,Galle,2025-12-14
Lorry,Isuzu,TIPPER,2003.0,"Rs. 6,750,000",200000.0,Kegalle,2025-12-14
Car,Suzuki,Spacia,2024.0,"Rs. 8,350,000",202000.0,Colombo,2025-12-14
Motorbike,Bajaj,Pulsar NS200,2025.0,"Rs. 1,015,000",7020.0,Dehiwala-Mount-Lavinia,2025-12-14
Car,Suzuki,Wagon R Custome Z,2023.0,"Rs. 8,375,000",37000.0,Galle,2025-12-14
SUV,DFSK,Glory 330,2020.0,"Rs. 6,775,000",13100.0,Colombo,2025-12-14
Lorry,DFSK,Unimo Lokka,2016.0,"Rs. 1,875,000",54324.0,Homagama,2025-12-14
Car,Toyota,Vitz,2009.0,"Rs. 6,190,000",130000.0,Malabe,2025-12-14
Motorbike,Bajaj,CT-100,2011.0,"Rs. 270,000",,Gampaha,2025-12-14
Car,Suzuki,Baleno,2002.0,"Rs. 2,500,000",1.0,Colombo,2025-12-14
SUV,Honda,Vezel Z Grade,2025.0,"Rs. 18,300,000",11.0,Gampaha,2025-12-14
Motorbike,TVS,Victor,2005.0,"Rs. 150,000",,Kiribathgoda,2025-12-14
Car,Daihatsu,MIRA ES SAFETY,2023.0,"Rs. 6,390,000",10000.0,Galle,2025-12-14
Motorbike,TVS,Scooty Pep Plus,2008.0,Negotiable,65000.0,Gampaha,2025-12-14
Car,Toyota,Vitz,2008.0,"Rs. 5,490,000",175000.0,Kotte,2025-12-14
Motorbike,Yamaha,Ray Z,2015.0,"Rs. 320,000",30000.0,Ratnapura,2025-12-14
Three Wheel,Bajaj,RE,2015.0,"Rs. 1,480,000",67500.0,Gampaha,2025-12-14
Car,Mazda,Axela,2014.0,"Rs. 9,275,000",12000.0,Colombo,2025-12-14
Motorbike,Honda,Hornet,2011.0,"Rs. 1,645,000",23555.0,Gampaha,2025-12-14
Car,Perodua,VIVA ELITE,2011.0,"Rs. 4,790,000",136000.0,Malabe,2025-12-14
Motorbike,Bajaj,CT-100,2009.0,"Rs. 275,000",,Tangalle,2025-12-14
Van,Nissan,Vanette,1988.0,"Rs. 2,675,000",1111.0,Matara,2025-12-14
Motorbike,TVS,Strike,2011.0,Negotiable,,Katunayake,2025-12-14
Tractor,Other,GN15Di,2011.0,"Rs. 385,000",10.0,Kurunegala,2025-12-14
Car,BMW,523i Stage 1 M5 Kitted,2010.0,"Rs. 16,900,000",100000.0,Colombo,2025-12-14
Motorbike,Kawasaki,D Tracker X,2012.0,"Rs. 1,385,000",23555.0,Gampaha,2025-12-14
Motorbike,Bajaj,Pulsar 150,2018.0,"Rs. 140,000",55000.0,Ratnapura,2025-12-14
Car,Nissan,N16 Super Saloon,2000.0,Negotiable,206000.0,Kandy,2025-12-14
Motorbike,Ranomoto,Super Cub,2018.0,"Rs. 185,000",58000.0,Negombo,2025-12-14
Motorbike,Bajaj,BOXER,2010.0,"Rs. 165,000",85000.0,Embilipitiya,2025-12-14
Motorbike,Honda,Navi,2017.0,"Rs. 359,000",32500.0,Matara,2025-12-14
Motorbike,TVS,Scooty Pep,2012.0,"Rs. 195,000",25456.0,Embilipitiya,2025-12-14
Motorbike,Hero,Pleasure,2014.0,"Rs. 330,000",30000.0,Kandy,2025-12-14
Car,Nissan,Wingroad WFY11,2003.0,"Rs. 4,850,000",190000.0,Gampaha,2025-12-14
Motorbike,Hero,Pleasure,2011.0,"Rs. 218,000",58000.0,Negombo,2025-12-14
SUV,Peugeot,3008 GT Line,2019.0,"Rs. 15,200,000",109000.0,Negombo,2025-12-14
Car,Nissan,Sb14,1997.0,"Rs. 2,925,000",170000.0,Nuwara-Eliya,2025-12-14
Car,Toyota,PREMIO G SUPERIOR,2010.0,"Rs. 10,390,000",168000.0,Nugegoda,2025-12-14
Lorry,Tata,Dimo Lokka Super Ace,2019.0,"Rs. 4,075,000",72500.0,Minuwangoda,2025-12-14
Bus,Tata,1510 Turbo Intercooler Seat 36,2008.0,"Rs. 5,900,000",,Moneragala,2025-12-14
SUV,Kia,SPORTAGE,2016.0,"Rs. 13,900,000",82000.0,Kotikawatta,2025-12-05
Pickup,Tata,Xenon,2011.0,"Rs. 5,000,000",180000.0,Badulla,2025-12-11
Car,Honda,Civic FD3,2008.0,"Rs. 6,790,000",301000.0,Kottawa,2025-12-12
Car,Suzuki,WAGON R CUSTOM Z,2025.0,"Rs. 7,750,000",,Colombo,2025-12-09
Motorbike,TVS,Scoote Pep Plus,2008.0,"Rs. 185,000",,Kandy,2025-12-14
Motorbike,Bajaj,Boxer,2004.0,"Rs. 140,000",79706.0,Kelaniya,2025-12-14
Lorry,Mitsubishi,Canter,2005.0,"Rs. 5,950,000",1111.0,Divulapitiya,2025-12-14
Motorbike,Bajaj,Pulsar 150,2015.0,Negotiable,50350.0,Ratnapura,2025-12-14
Car,Toyota,Corolla Wagon,1996.0,"Rs. 2,850,000",210000.0,Gampaha,2025-12-14
,Land-Rover,109 Series 3,1980.0,Rs. 95,,Kandy,2025-12-14
Motorbike,Yamaha,Ray,2013.0,"Rs. 335,000",34560.0,Anuradapura,2025-12-14
Car,BMW,320D,2011.0,"Rs. 11,800,000",155000.0,Kalutara,2025-12-14
Car,Honda,Insight,2009.0,"Rs. 6,850,000",178000.0,Ja-Ela,2025-12-14
Car,Suzuki,WAGON R STINGRAY,2018.0,"Rs. 7,490,000",104000.0,Nugegoda,2025-12-14
Van,Suzuki,Every Join Turbo,2024.0,Negotiable,7010.0,Panadura,2025-12-14
Car,Honda,Fit GP4,2015.0,Negotiable,100000.0,Kandy,2025-12-14
Motorbike,Bajaj,Pulsar,2010.0,"Rs. 342,000",,Gampaha,2025-12-14
Car,Nissan,FB15 Super Saloon,2003.0,"Rs. 5,200,000",90000.0,Ampara,2025-12-14
Car,Toyota,Soluna,2004.0,"Rs. 3,350,000",1.0,Warakapola,2025-12-14
Car,Suzuki,Baleno,2016.0,"Rs. 7,250,000",83998.0,Colombo,2025-12-14
Car,Mazda,Luce,1970.0,Negotiable,,Kandy,2025-12-14
Motorbike,Bajaj,Discover 125,2014.0,Negotiable,55000.0,Kadawatha,2025-12-14
Motorbike,Bajaj,Pulsar 180,2006.0,"Rs. 115,000",45000.0,Anuradapura,2025-12-14
Car,Toyota,ROOMY SAFETY DUAL POWER,2023.0,"Rs. 9,300,000",14000.0,Boralesgamuwa,2025-12-14
Van,Nissan,E25,2010.0,"Rs. 9,000,000",162000.0,Marawila,2025-12-14
Bus,Mitsubishi,Rosa 29,2010.0,"Rs. 16,975,000",72000.0,Galle,2025-12-14
Car,Daihatsu,Mira Es Limited G Grade,2024.0,Negotiable,13500.0,Panadura,2025-12-14
Car,Suzuki,Celerio VXI,2016.0,"Rs. 5,475,000",142000.0,Colombo,2025-12-14
Van,Suzuki,EVERY PA LIMITED,2024.0,"Rs. 7,375,000",,Colombo,2025-12-14
Van,Toyota,Townace Noah 3C Turbo,2003.0,"Rs. 7,650,000",186000.0,Kuliyapitiya,2025-12-14
Car,Nissan,FB14,1995.0,Negotiable,258000.0,Kadawatha,2025-12-14
Car,Toyota,Corona EST 150,1983.0,"Rs. 1,590,000",276000.0,Nugegoda,2025-12-14
Car,Suzuki,Alto,2011.0,"Rs. 2,995,000",174526.0,Kurunegala,2025-12-14
Motorbike,Other,Royal Enfield Classic 350,2025.0,Negotiable,185.0,Dehiwala-Mount-Lavinia,2025-12-14
Motorbike,Bajaj,Pulsar 135,1996.0,"Rs. 65,000",58464.0,Matugama,2025-12-14
Car,Honda,CIVIC,1986.0,"Rs. 1,275,000",1111.0,Matara,2025-12-14
Van,Toyota,LiteAce,1988.0,"Rs. 2,275,000",275000.0,Hanwella,2025-12-14
Motorbike,TVS,Scooty Streak,2012.0,"Rs. 190,000",,Kegalle,2025-12-14
Van,Nissan,Vanette,1993.0,Negotiable,,Kandy,2025-12-14
Car,Mitsubishi,EK WAGON,2016.0,"Rs. 5,790,000",104000.0,Malabe,2025-12-14
Van,Mazda,Bongo,1990.0,"Rs. 3,190,000",222222.0,Kurunegala,2025-12-14
Van,Suzuki,Every,2018.0,"Rs. 5,785,000",128000.0,Kottawa,2025-12-14
Lorry,Mitsubishi,Canter,1991.0,"Rs. 2,875,000",200000.0,Negombo,2025-12-14
Motorbike,Suzuki,Slingshot,2014.0,"Rs. 175,000",37600.0,Gampaha,2025-12-14
SUV,Toyota,Raize Hybrid,2025.0,Negotiable,,Dehiwala-Mount-Lavinia,2025-12-11
Car,Honda,Civic FD3,2008.0,"Rs. 6,790,000",301000.0,Kottawa,2025-12-12
Car,Honda,FIT GP5,2014.0,"Rs. 7,700,000",192292.0,Chilaw,2025-12-13
Car,Nissan,Cefiro A33,2000.0,"Rs. 3,385,000",178000.0,Kandy,2025-12-13
Car,Hyundai,Accent,2000.0,"Rs. 2,390,000",157000.0,Padukka,2025-12-14
Motorbike,Yamaha,ZR,2017.0,Negotiable,15000.0,Polgahawela,2025-12-14
Van,Toyota,HIACE DOLPHIN,1992.0,"Rs. 5,150,000",186000.0,Kandy,2025-12-14
Motorbike,Demak,Savage,2009.0,"Rs. 88,000",,Colombo,2025-12-14
Car,Mazda,FAMILIA,1986.0,"Rs. 895,000",111.0,Matara,2025-12-14
Van,Suzuki,EVERY PA LIMITED,2023.0,"Rs. 7,175,000",,Panadura,2025-12-14
Motorbike,Hero-Honda,CD-100,2002.0,"Rs. 30,000",,Kegalle,2025-12-14
Car,Nissan,CARAVAN E25,2008.0,"Rs. 9,400,000",170000.0,Kandy,2025-12-14
Car,Nissan,Dayz,2018.0,"Rs. 5,555,000",86.0,Bandaragama,2025-12-14
Three Wheel,Bajaj,2 Stroke,1999.0,"Rs. 435,000",,Colombo,2025-12-14
Car,Toyota,Vitz Safety Edition,2017.0,"Rs. 7,390,000",95000.0,Wattala,2025-12-14
Motorbike,Hero,Pleasure,2017.0,Negotiable,17500.0,Kegalle,2025-12-14
Car,Nissan,FB15,2002.0,"Rs. 4,750,000",158600.0,Kandy,2025-12-14
Car,Hyundai,Accent,2001.0,"Rs. 2,320,000",160000.0,Kelaniya,2025-12-14
Bus,Toyota,Coaster,2025.0,"Rs. 25,000,000",,Kalutara,2025-12-14
Car,Proton,WIRA,2000.0,"Rs. 2,575,000",179111.0,Homagama,2025-12-14
Car,Mazda,Demio,2001.0,Negotiable,1111.0,Matara,2025-12-14
Car,Suzuki,Maruti,2011.0,"Rs. 2,300,000",52000.0,Negombo,2025-12-14
Motorbike,Yamaha,125,2007.0,"Rs. 180,000",48000.0,Anuradapura,2025-12-14
Car,Micro,Panda,2012.0,"Rs. 2,500,000",108639.0,Anuradapura,2025-12-14
Car,Tata,NANO LX,2011.0,"Rs. 1,590,000",161250.0,Malabe,2025-12-14
Van,Toyota,Townace,1992.0,Negotiable,294990.0,Matara,2025-12-14
Car,Hyundai,ACCENT,2001.0,"Rs. 2,320,000",160000.0,Kelaniya,2025-12-14
Three Wheel,Bajaj,2 Stroke,2006.0,"Rs. 975,000",,Gampaha,2025-12-14
Three Wheel,Bajaj,RE,2006.0,"Rs. 875,000",75000.0,Kurunegala,2025-12-14
Car,Toyota,COROLLA,1988.0,"Rs. 1,695,000",208727.0,Homagama,2025-12-14
Car,Alfa-Romeo,Giulia 156,1998.0,"Rs. 3,600,000",1400000.0,Dehiwala-Mount-Lavinia,2025-12-14
Van,Toyota,Kr42,1998.0,"Rs. 6,200,000",214000.0,Wennappuwa,2025-12-14
Car,Suzuki,Alto,2015.0,"Rs. 3,850,000",86000.0,Kegalle,2025-12-14
Pickup,Toyota,Rocco,2018.0,"Rs. 17,950,000",73000.0,Kadawatha,2025-12-14
Motorbike,Yamaha,Ray Zr,2018.0,"Rs. 458,000",58566.0,Gampaha,2025-12-14
Van,Hyundai,H100,2001.0,"Rs. 4,150,000",11111.0,Matara,2025-12-14
Motorbike,Bajaj,Platina,2014.0,"Rs. 335,000",,Homagama,2025-12-14
Motorbike,Hero,Pleasure,2012.0,"Rs. 210,000",,Ambalangoda,2025-12-14
Three Wheel,Bajaj,RE,2016.0,"Rs. 1,425,000",60700.0,Kalutara,2025-12-14
Lorry,Tata,909,2011.0,Negotiable,55431.0,Anuradapura,2025-12-14
Motorbike,Honda,Dio,2017.0,"Rs. 495,000",1.0,Matale,2025-12-14
Motorbike,TVS,Scooty Pep,2008.0,"Rs. 165,000",58000.0,Dankotuwa,2025-12-14
Motorbike,Bajaj,Pulsar NS160,2018.0,"Rs. 655,000",46000.0,Kurunegala,2025-12-14
Car,Nissan,NOTE,2010.0,"Rs. 5,250,000",143000.0,Panadura,2025-12-14
Car,Suzuki,Spacia Flair Wagon Custom Style XT,2024.0,"Rs. 9,000,000",8716.0,Colombo,2025-12-14
Car,Micro,Panda,2012.0,"Rs. 2,675,000",72000.0,Maharagama,2025-12-13
SUV,Honda,VEZEL Z PLAY MOONROOF,2022.0,"Rs. 18,200,000",16000.0,Kurunegala,2025-12-09
SUV,Toyota,RAIZE,2024.0,"Rs. 13,425,000",8700.0,Nittambuwa,2025-12-06
Car,Nissan,Bluebird,1999.0,"Rs. 3,475,000",262863.0,Homagama,2025-12-14
Three Wheel,Bajaj,2 Stroke,2004.0,"Rs. 725,000",321.0,Kuliyapitiya,2025-12-14
Van,Toyota,Townace CR27,1992.0,Negotiable,294990.0,Matara,2025-12-14
Motorbike,Honda,Dio,2014.0,"Rs. 429,000",28000.0,Kesbewa,2025-12-14
Car,Toyota,Aqua,2014.0,Negotiable,1010000.0,Ragama,2025-12-14
Motorbike,Hero,Pleasure,2014.0,Negotiable,,Kandy,2025-12-14
Car,Toyota,PREMIO 240,2002.0,"Rs. 7,500,000",154000.0,Ragama,2025-12-14
Motorbike,Syuk,Syuk,2016.0,"Rs. 1,900,000",7500000.0,Negombo,2025-12-14
Car,Toyota,Axio G Grade,2015.0,"Rs. 9,975,000",11000.0,Ambalangoda,2025-12-14
Lorry,Micro,Loader,2015.0,"Rs. 1,575,000",12345.0,Dompe,2025-12-14
Car,Honda,Grace Ex GM4,2016.0,"Rs. 9,550,000",150000.0,Dehiwala-Mount-Lavinia,2025-12-14
Pickup,Mitsubishi,L200,2020.0,"Rs. 19,800,000",20000.0,Colombo,2025-12-14
Car,Toyota,COROLLA DX,1984.0,"Rs. 1,875,000",210123.0,Homagama,2025-12-14
Car,Toyota,VITZ KSP90,2015.0,"Rs. 7,285,000",29750.0,Ja-Ela,2025-12-14
SUV,MG,Zs,2019.0,"Rs. 9,575,000",62400.0,Piliyandala,2025-12-14
Car,Toyota,Aqua,2013.0,"Rs. 6,650,000",130000.0,Katunayake,2025-12-14
Pickup,Tata,207 DI,2007.0,"Rs. 1,675,000",270000.0,Ratnapura,2025-12-14
Motorbike,Honda,Grazia,2019.0,"Rs. 488,000",48000.0,Chilaw,2025-12-14
Car,Suzuki,Alto Lxi,2013.0,"Rs. 3,390,000",98250.0,Galle,2025-12-14
Motorbike,Hero,MAESTRO,2020.0,"Rs. 400,000",30000.0,Ampara,2025-12-14
Lorry,Ashok-Leyland,DOST,2013.0,"Rs. 2,675,000",203879.0,Homagama,2025-12-14
SUV,Honda,CRV RD1,2002.0,"Rs. 4,950,000",268000.0,Piliyandala,2025-12-14
Car,Toyota,PREMIO G SUPERIOR,2017.0,"Rs. 15,000,000",115000.0,Kandy,2025-12-14
Van,Toyota,KDH DARK PRIME,2017.0,"Rs. 28,600,000",104000.0,Gampaha,2025-12-14
SUV,Mitsubishi,Montero,2013.0,Negotiable,144000.0,Colombo,2025-12-14
Car,Honda,Insight,2010.0,"Rs. 6,950,000",200000.0,Galle,2025-12-14
Motorbike,Hero,Pleasure,2019.0,Negotiable,,Kandy,2025-12-14
Motorbike,Bajaj,CT-100,2006.0,"Rs. 210,000",,Ratnapura,2025-12-14
Car,Suzuki,Alto Japan,2003.0,"Rs. 3,500,000",140000.0,Panadura,2025-12-14
Motorbike,Demak,Dxt,2017.0,"Rs. 260,000",64.0,Kurunegala,2025-12-14
Bus,Ashok-Leyland,Mitr,2014.0,"Rs. 6,850,000",180000.0,Mirigama,2025-12-14
Three Wheel,Bajaj,2 Stroke,1997.0,"Rs. 465,000",11111.0,Avissawella,2025-12-14
Car,Mazda,Mister 90,1995.0,"Rs. 1,600,000",114101.0,Batticaloa,2025-12-14
Car,Toyota,CORONA,1991.0,"Rs. 2,055,000",236333.0,Homagama,2025-12-14
SUV,Toyota,CHR,2017.0,"Rs. 12,500,000",98000.0,Malabe,2025-12-14
Car,Suzuki,Alto,2016.0,"Rs. 3,575,000",144000.0,Colombo,2025-12-14
Tractor,TAFE,45DI,2017.0,"Rs. 2,900,000",4500.0,Ampara,2025-12-14
SUV,Land-Rover,Defender 90 TD5,1987.0,Negotiable,85000.0,Ratnapura,2025-12-14
Motorbike,Yamaha,MT-15 Version 2.0,2025.0,"Rs. 1,600,000",7400.0,Negombo,2025-12-14
Car,Suzuki,Maruti 800,2006.0,"Rs. 1,990,000",89000.0,Gampaha,2025-12-14
Car,Toyota,PASSO,2009.0,"Rs. 5,250,000",116500.0,Dompe,2025-12-10
Car,Toyota,Premio G Superior,2013.0,"Rs. 10,700,000",102000.0,Matara,2025-12-12
Van,Suzuki,Every FULL JOIN CUSTOM,2025.0,"Rs. 2,500,000",220.0,Dehiwala-Mount-Lavinia,2025-12-13
SUV,Mitsubishi,Montero,2015.0,"Rs. 24,500,000",76000.0,Boralesgamuwa,2025-12-14
Car,Suzuki,Alto K10,2016.0,"Rs. 4,290,000",120000.0,Galle,2025-12-14
SUV,Honda,Vezel Z Orange Pack,2014.0,"Rs. 9,550,000",57000.0,Panadura,2025-12-14
Car,Toyota,Premio,2017.0,"Rs. 15,000,000",84000.0,Kandy,2025-12-14
Car,Toyota,Carina AT 170 My Road,1992.0,Negotiable,187000.0,Wattala,2025-12-14
Car,Daihatsu,Mira Pixis X Limited,2023.0,"Rs. 6,490,000",3500.0,Ragama,2025-12-14
Lorry,Tata,Dimo Batta Aluminum Full Body,2006.0,"Rs. 1,175,000",,Anuradapura,2025-12-14
Motorbike,Bajaj,Discover 150,2012.0,"Rs. 275,000",221111.0,Ja-Ela,2025-12-14
Car,Toyota,Corolla Elephant Back,1997.0,"Rs. 3,150,000",170499.0,Ratnapura,2025-12-14
SUV,Land-Rover,FREELANDER,2011.0,"Rs. 11,500,000",108000.0,Ragama,2025-12-14
Car,Tata,NANO,2016.0,"Rs. 2,285,000",154598.0,Homagama,2025-12-14
Car,Toyota,AQUA,2012.0,"Rs. 7,375,000",279000.0,Homagama,2025-12-14
Motorbike,TVS,Flame 125,2010.0,Negotiable,545454.0,Kalutara,2025-12-14
SUV,Suzuki,Grand Vitara,2013.0,"Rs. 9,250,000",128985.0,Kiribathgoda,2025-12-14
Car,Suzuki,Alto Sports,2015.0,"Rs. 3,755,000",,Gampaha,2025-12-14
Motorbike,Honda,Activa I,2015.0,"Rs. 400,000",26000.0,Kandy,2025-12-14
,Kia,Sorento,2012.0,"Rs. 11,875,000",221000.0,Colombo,2025-12-14
Lorry,Tata,Dimo Batta HT2,2011.0,"Rs. 1,575,000",,Anuradapura,2025-12-14
Bus,Toyota,Coaster,1996.0,Negotiable,,Gampaha,2025-12-14
SUV,Toyota,CHR NGX 10 Eagle Eye,2019.0,"Rs. 14,275,000",88000.0,Homagama,2025-12-14
Three Wheel,Bajaj,RE,2017.0,"Rs. 1,680,000",50000.0,Hambantota,2025-12-14
Motorbike,TVS,Metro,2014.0,Negotiable,40000.0,Dehiwala-Mount-Lavinia,2025-12-14
Car,Suzuki,WAGON R FZ,2014.0,"Rs. 5,690,000",84000.0,Malabe,2025-12-14
Motorbike,TVS,Wego,2014.0,"Rs. 309,000",28000.0,Kandy,2025-12-14
Car,Toyota,Corolla Dx Wagon,1985.0,"Rs. 1,050,000",214523.0,Kurunegala,2025-12-14
Van,Daihatsu,HIJET,2016.0,"Rs. 6,175,000",90200.0,Homagama,2025-12-14
Lorry,Tata,Dimo Batta,2014.0,"Rs. 2,035,000",82521.0,Moratuwa,2025-12-14
Three Wheel,Bajaj,2 Stroke,1994.0,"Rs. 450,000",75000.0,Galle,2025-12-14
Car,Zotye,Z100,2016.0,"Rs. 2,975,000",91000.0,Kalutara,2025-12-14
SUV,Land-Rover,FREELANDER,2011.0,"Rs. 12,000,000",121000.0,Ragama,2025-12-14
Lorry,Isuzu,Isuzu,2006.0,Negotiable,225000.0,Kegalle,2025-12-14
Three Wheel,Bajaj,RE,2011.0,"Rs. 1,265,000",39000.0,Batticaloa,2025-12-14
SUV,Peugeot,3008 GT Line,2018.0,"Rs. 18,000,000",73000.0,Kuliyapitiya,2025-12-14
Motorbike,Bajaj,CT-100,2009.0,"Rs. 243,000",,Gampaha,2025-12-14
Car,Honda,Freed,2012.0,"Rs. 3,000,000",197000.0,Kalutara,2025-12-14
Car,Suzuki,ALTO,2015.0,"Rs. 3,975,000",225000.0,Homagama,2025-12-14
Motorbike,Suzuki,Burgman,2020.0,Negotiable,44000.0,Gampaha,2025-12-14
Car,Nissan,March,1997.0,"Rs. 2,645,000",,Panadura,2025-12-14
Car,Suzuki,Swift Rs Turbo,2017.0,"Rs. 8,475,000",85000.0,Maharagama,2025-12-14
Car,Honda,Civic ES8,2001.0,"Rs. 5,390,000",172000.0,Piliyandala,2025-12-14
Car,Suzuki,Carry DA52T,2000.0,"Rs. 2,395,000",345.0,Kadawatha,2025-12-14
Motorbike,Bajaj,Discover 135,2009.0,"Rs. 345,000",60000.0,Dompe,2025-12-14
Car,Daihatsu,Mira L,2024.0,Negotiable,2300.0,Ragama,2025-12-05
SUV,Porsche,Cayenne S Hybrid,2013.0,"Rs. 20,000,000",112990.0,Weligama,2025-12-05
Van,Toyota,HIACE DOLPHIN LH113,1992.0,"Rs. 7,750,000",272496.0,Tangalle,2025-12-13
Lorry,Toyota,Dyna,1997.0,"Rs. 3,675,000",175000.0,Kegalle,2025-12-14
Car,Suzuki,Wagon R Fz Safety,2015.0,"Rs. 5,575,000",95700.0,Kaduwela,2025-12-14
Motorbike,Yamaha,FZ-S,2013.0,"Rs. 590,000",67000.0,Kandy,2025-12-14
Car,Zotye,Z100,2016.0,"Rs. 3,195,000",,Panadura,2025-12-14
Car,Toyota,Aqua S Grade,2012.0,"Rs. 7,150,000",170000.0,Matara,2025-12-14
Three Wheel,Bajaj,RE,2013.0,"Rs. 1,290,000",90000.0,Embilipitiya,2025-12-14
Car,Suzuki,MARUTI ZEN,2006.0,Negotiable,135704.0,Homagama,2025-12-14
Motorbike,Bajaj,Discover 125,2016.0,Negotiable,37000.0,Anuradapura,2025-12-14
Car,Suzuki,WAGON R FX,2017.0,"Rs. 6,250,000",132000.0,Malabe,2025-12-14
Motorbike,Bajaj,CT-100,2015.0,"Rs. 330,000",60000.0,Colombo,2025-12-14
Van,Toyota,Dolphin,1998.0,"Rs. 98,025,000",1850000.0,Kandy,2025-12-14
Motorbike,Demak,DTM 200,2016.0,"Rs. 345,000",28666.0,Kadawatha,2025-12-14
Car,Toyota,Aqua X Urban,2015.0,"Rs. 8,650,000",150000.0,Kurunegala,2025-12-14
,Nissan,D22,2001.0,"Rs. 7,200,000",250000.0,Gampaha,2025-12-14
Car,Nissan,Y Y10,1997.0,"Rs. 2,390,000",200000.0,Negombo,2025-12-14
Car,Suzuki,Alto,2011.0,"Rs. 3,100,000",,Galle,2025-12-14
Car,Mitsubishi,LANCER CK2A,1999.0,"Rs. 5,175,000",176000.0,Homagama,2025-12-14
Car,Datsun,Redi-GO,2016.0,"Rs. 3,295,000",,Panadura,2025-12-14
Car,Suzuki,Alto,2007.0,"Rs. 2,625,000",152000.0,Kandy,2025-12-14
Three Wheel,Bajaj,RE 4 Stroke,2019.0,"Rs. 1,695,000",19000.0,Gampaha,2025-12-14
Van,Toyota,LH 119,1994.0,"Rs. 7,650,000",10000.0,Kaduwela,2025-12-14
Motorbike,Hero,Pleasure,2014.0,Negotiable,,Kandy,2025-12-14
SUV,Honda,Vezel Rs,2016.0,"Rs. 11,300,000",154000.0,Matugama,2025-12-14
Three Wheel,Bajaj,RE,1995.0,"Rs. 328,000",11111.0,Avissawella,2025-12-14
Car,Suzuki,WAGON R,2017.0,"Rs. 7,085,000",158000.0,Homagama,2025-12-14
Car,Nissan,Caravan,1991.0,"Rs. 5,650,000",,Kurunegala,2025-12-14
Car,Toyota,Allion 240,2006.0,"Rs. 7,500,000",195000.0,Negombo,2025-12-14
Car,Daihatsu,Taft,2023.0,"Rs. 8,650,000",30000.0,Colombo,2025-12-14
