Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,No of vehicle,Unnamed: 9,Unnamed: 10,Model_Code,Clean_Name
MOTOR CYCLE,YAMAHA,FZ-S,INDIA,PETROL,149.0,BATTICALOA,RECONDITIONED,1,,,FZ-S,Unknown
MOTOR CYCLE,YAMAHA,MT-15,INDIA,PETROL,150.0,TRINCOMALEE,RECONDITIONED,1,,,MT-15,Unknown
MOTOR CYCLE,YAMAHA,PW50,JAPAN,PETROL,49.0,COLOMBO,RECONDITIONED,1,,,,PW50
MOTOR CYCLE,YAMAHA,X-MAX 250,JAPAN,PETROL,249.0,COLOMBO,RECONDITIONED,1,,,,X-MAX 250
MOTOR CYCLE,ZHEJIANG,N7,CHINA,ELECTRIC,0.7,COLOMBO,BRAND NEW,1,,,,N7
MOTOR HEARSE,MERCEDES BENZ,E200-EAGLE HEARSE,UNITED KINGDOM,PETROL/ELE,1991.0,GAMPAHA,RECONDITIONED,1,,,E200-EAGLE,HEARSE
MOTOR LORRY (COMMERCIAL),HINO,BKG-FC7JJYA,JAPAN,DIESEL,6400.0,ANURADHAPURA,RECONDITIONED,1,,,BKG-FC7JJYA,Unknown
MOTOR LORRY (COMMERCIAL),HINO,QKG-FW1AXBG PROFIA,JAPAN,DIESEL,8860.0,COLOMBO,RECONDITIONED,1,,,QKG-FW1AXBG,PROFIA
MOTOR LORRY (COMMERCIAL),HINO,SKG-XZU650M,JAPAN,DIESEL,4000.0,KANDY,RECONDITIONED,1,,,SKG-XZU650M,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,BKG-NKR85N ELF,JAPAN,DIESEL,2990.0,ANURADHAPURA,RECONDITIONED,1,,,BKG-NKR85N,ELF
MOTOR LORRY (COMMERCIAL),ISUZU,FORWARD F180,UNITED KINGDOM,DIESEL,7790.0,COLOMBO,RECONDITIONED,1,,,,FORWARD F180
MOTOR LORRY (COMMERCIAL),ISUZU,KK-NKR66EA,JAPAN,DIESEL,4330.0,KANDY,RECONDITIONED,1,,,KK-NKR66EA,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,PB-NKR81A-ELF,JAPAN,DIESEL,4770.0,GALLE,RECONDITIONED,1,,,PB-NKR81A-ELF,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,PKG-FSR34T2,JAPAN,DIESEL,7790.0,ANURADHAPURA,RECONDITIONED,1,,,PKG-FSR34T2,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,SKG-FRR90S1,JAPAN,DIESEL,5190.0,HAMBANTOTA,RECONDITIONED,1,,,SKG-FRR90S1,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,TKG-FRR90S2,JAPAN,DIESEL,5190.0,PUTTALAM,RECONDITIONED,1,,,TKG-FRR90S2,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,TKG-FRR90T2,JAPAN,DIESEL,5190.0,HAMBANTOTA,RECONDITIONED,1,,,TKG-FRR90T2,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,TKG-NMR85AN,JAPAN,DIESEL,2990.0,COLOMBO,RECONDITIONED,1,,,TKG-NMR85AN,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,TPG-NPS85AN,JAPAN,DIESEL,2990.0,GAMPAHA,RECONDITIONED,1,,,TPG-NPS85AN,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,TRG-NPR85AN,JAPAN,DIESEL,2990.0,JAFFNA,RECONDITIONED,1,,,TRG-NPR85AN,Unknown
MOTOR LORRY (COMMERCIAL),ISUZU,TSG-NPR85AN ELF,JAPAN,DIESEL,2990.0,KEGALLE,RECONDITIONED,1,,,TSG-NPR85AN,ELF
MOTOR LORRY (COMMERCIAL),J M C,CARRYING LIUS,SRI LANKA,DIESEL,2771.0,KURUNEGALA,LOCALLY BUILT,1,,,,CARRYING LIUS
MOTOR LORRY (COMMERCIAL),J M C,CARRYING PLUS,SRI LANKA,DIESEL,2771.0,PUTTALAM,LOCALLY BUILT,1,,,,CARRYING PLUS
MOTOR LORRY (COMMERCIAL),J M C,JX1044TC2R,SRI LANKA,DIESEL,2771.0,MATARA,LOCALLY BUILT,1,,,,JX1044TC2R
MOTOR LORRY (COMMERCIAL),JAC,HFC1027E4,SRI LANKA,DIESEL,2746.0,KEGALLE,BRAND NEW-L/ASSEMBLE,1,,,,HFC1027E4
MOTOR LORRY (COMMERCIAL),JAC,HFC1027E4,SRI LANKA,DIESEL,2746.0,AMPARA,BRAND NEW-L/ASSEMBLE,1,,,,HFC1027E4
MOTOR LORRY (COMMERCIAL),JAC,HFC1027E4,SRI LANKA,DIESEL,2746.0,MATARA,BRAND NEW-L/ASSEMBLE,1,,,,HFC1027E4
MOTOR LORRY (COMMERCIAL),JAC,HFC1027E4,SRI LANKA,DIESEL,2746.0,GAMPAHA,BRAND NEW-L/ASSEMBLE,2,,,,HFC1027E4
MOTOR LORRY (COMMERCIAL),JAC,HFC1027E4,SRI LANKA,DIESEL,2746.0,COLOMBO,BRAND NEW-L/ASSEMBLE,2,,,,HFC1027E4
MOTOR LORRY (COMMERCIAL),JAC,HFC1027E4,SRI LANKA,DIESEL,2746.0,KURUNEGALA,BRAND NEW-L/ASSEMBLE,5,,,,HFC1027E4
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,E COMET 1212,SRI LANKA,DIESEL,3839.0,GAMPAHA,BRAND NEW-L/ASSEMBLE,2,,,,E COMET 1212
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,E COMET 1212,SRI LANKA,DIESEL,3839.0,PUTTALAM,BRAND NEW-L/ASSEMBLE,2,,,,E COMET 1212
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,E COMET 1212,SRI LANKA,DIESEL,3839.0,COLOMBO,BRAND NEW-L/ASSEMBLE,4,,,,E COMET 1212
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,E- COMET 1212,SRI LANKA,DIESEL,3839.0,COLOMBO,BRAND NEW-L/ASSEMBLE,1,,,,E- COMET 1212
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TAURUS 2518,SRI LANKA,DIESEL,5759.0,BADULLA,BRAND NEW-L/ASSEMBLE,1,,,,TAURUS 2518
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TAURUS 2518,SRI LANKA,DIESEL,5759.0,HAMBANTOTA,BRAND NEW-L/ASSEMBLE,2,,,,TAURUS 2518
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TAURUS 2518,SRI LANKA,DIESEL,5759.0,MATARA,BRAND NEW-L/ASSEMBLE,3,,,,TAURUS 2518
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TAURUS 2518,SRI LANKA,DIESEL,5759.0,COLOMBO,BRAND NEW-L/ASSEMBLE,4,,,,TAURUS 2518
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TAURUS 2518,SRI LANKA,DIESEL,5759.0,VAVUNIYA,BRAND NEW-L/ASSEMBLE,5,,,,TAURUS 2518
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,ANURADHAPURA,BRAND NEW-L/ASSEMBLE,1,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,KILINOCHCHI,BRAND NEW-L/ASSEMBLE,1,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,AMPARA,BRAND NEW-L/ASSEMBLE,1,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,VAVUNIYA,BRAND NEW-L/ASSEMBLE,1,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,MONERAGALA,BRAND NEW-L/ASSEMBLE,1,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,KURUNEGALA,BRAND NEW-L/ASSEMBLE,2,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,HAMBANTOTA,BRAND NEW-L/ASSEMBLE,3,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,MATARA,BRAND NEW-L/ASSEMBLE,3,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,POLONNARUWA,BRAND NEW-L/ASSEMBLE,5,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,GAMPAHA,BRAND NEW-L/ASSEMBLE,8,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),LANKA ASHOK LEYLAND,TUSKER SUPER 1618,SRI LANKA,DIESEL,5759.0,COLOMBO,BRAND NEW-L/ASSEMBLE,13,,,,TUSKER SUPER 1618
MOTOR LORRY (COMMERCIAL),MAZDA,SKG-LPR85AN,JAPAN,DIESEL,2990.0,HAMBANTOTA,RECONDITIONED,1,,,SKG-LPR85AN,Unknown
MOTOR LORRY (COMMERCIAL),MITSUBISHI,CANTER,JAPAN,DIESEL,4890.0,KEGALLE,BOUGHT FROM AUCTION,1,,,,CANTER
MOTOR LORRY (COMMERCIAL),MITSUBISHI,TKG-FEB50 CANTER,JAPAN,DIESEL,2990.0,ANURADHAPURA,RECONDITIONED,1,,,TKG-FEB50,CANTER
MOTOR LORRY (COMMERCIAL),MITSUBISHI,TKG-FEB50 CANTER,JAPAN,DIESEL,2990.0,KALUTARA,RECONDITIONED,1,,,TKG-FEB50,CANTER
MOTOR LORRY (COMMERCIAL),MITSUBISHI,TKG-FEB90,JAPAN,DIESEL,2990.0,ANURADHAPURA,RECONDITIONED,2,,,TKG-FEB90,Unknown
MOTOR LORRY (COMMERCIAL),MITSUBISHI,TKG-FK72FY,JAPAN,DIESEL,7540.0,ANURADHAPURA,RECONDITIONED,1,,,TKG-FK72FY,Unknown
MOTOR LORRY (COMMERCIAL),NISSAN,TKG-AKR85 A,JAPAN,DIESEL,2990.0,COLOMBO,RECONDITIONED,1,,,TKG-AKR85,A
MOTOR LORRY (COMMERCIAL),NISSAN,TKG-AKR85A,JAPAN,DIESEL,2990.0,GALLE,RECONDITIONED,1,,,TKG-AKR85A,Unknown
MOTOR LORRY (COMMERCIAL),SUZUKI,EBD-DA16T CARRY,JAPAN,PETROL,658.0,RATNAPURA,RECONDITIONED,1,,,EBD-DA16T,CARRY
MOTOR TRICYCLE VAN,PIAGGIO,APE  XTRA  LD,INDIA,DIESEL,435.0,MATARA,BOUGHT FROM AUCTION,1,,,,APE  XTRA  LD
MOTOR TRICYCLE VAN,PIAGGIO,APE XTRA LD,INDIA,DIESEL,435.0,GAMPAHA,BOUGHT FROM AUCTION,1,,,,APE XTRA LD
MOTOR TRICYCLE VAN,PIAGGIO,APE XTRA LD,INDIA,DIESEL,435.0,KEGALLE,BOUGHT FROM AUCTION,2,,,,APE XTRA LD
MOTOR TRICYCLE VAN,PIAGGIO,APE XTRA LD,INDIA,DIESEL,435.0,COLOMBO,BOUGHT FROM AUCTION,2,,,,APE XTRA LD
OTHER SPECIAL PURPOSE VEHICLE,FAW,CA104JP40K50EYA84,CHINA,DIESEL,2210.0,COLOMBO,BRAND NEW,1,,,,CA104JP40K50EYA84
PRIMER MOVER,DAF,XF480,UNITED KINGDOM,DIESEL,12902.0,KANDY,RECONDITIONED,2,,,,XF480
PRIMER MOVER,LANKA ASHOK LEYLAND,U4019,INDIA,DIESEL,5759.0,COLOMBO,BRAND NEW,1,,,,U4019
PRIMER MOVER,LANKA ASHOK LEYLAND,U4923,INDIA,DIESEL,5759.0,PUTTALAM,BRAND NEW,1,,,,U4923
PRIMER MOVER,MAN,TGX 26.470,UNITED KINGDOM,DIESEL,12419.0,KALUTARA,RECONDITIONED,2,,,,TGX 26.470
PRIMER MOVER,MAN,TGX 26.470,UNITED KINGDOM,DIESEL,12419.0,COLOMBO,RECONDITIONED,15,,,,TGX 26.470
PRIMER MOVER,TATA,SIGNA 4018,INDIA,DIESEL,5883.0,GAMPAHA,BRAND NEW,5,,,,SIGNA 4018
PRIMER MOVER,TATA,SIGNA 4018,INDIA,DIESEL,5883.0,COLOMBO,BRAND NEW,10,,,,SIGNA 4018
PRIMER MOVER,TATA,SIGNA 5530,INDIA,DIESEL,6702.0,PUTTALAM,BRAND NEW,2,,,,SIGNA 5530
PRIMER MOVER,TATA,SIGNA 5530,INDIA,DIESEL,6702.0,COLOMBO,BRAND NEW,13,,,,SIGNA 5530
SINGLE CAB,LANKA ASHOK LEYLAND,BADA DOST,SRI LANKA,DIESEL,1478.0,NUWARA-ELIYA,BRAND NEW-L/ASSEMBLE,1,,,,BADA DOST
SINGLE CAB,LANKA ASHOK LEYLAND,BADA DOST,SRI LANKA,DIESEL,1478.0,COLOMBO,BRAND NEW-L/ASSEMBLE,1,,,,BADA DOST
SINGLE CAB,LANKA ASHOK LEYLAND,BADA DOST,SRI LANKA,DIESEL,1478.0,JAFFNA,BRAND NEW-L/ASSEMBLE,1,,,,BADA DOST
SINGLE CAB,LANKA ASHOK LEYLAND,BADA DOST,SRI LANKA,DIESEL,1478.0,AMPARA,BRAND NEW-L/ASSEMBLE,1,,,,BADA DOST
SINGLE CAB,LANKA ASHOK LEYLAND,BADA DOST,SRI LANKA,DIESEL,1478.0,MATARA,BRAND NEW-L/ASSEMBLE,1,,,,BADA DOST
SINGLE CAB,LANKA ASHOK LEYLAND,BADA DOST,SRI LANKA,DIESEL,1478.0,KURUNEGALA,BRAND NEW-L/ASSEMBLE,3,,,,BADA DOST
SINGLE CAB,LANKA ASHOK LEYLAND,DOST,SRI LANKA,DIESEL,1478.0,JAFFNA,BRAND NEW-L/ASSEMBLE,1,,,,DOST
SINGLE CAB,LANKA ASHOK LEYLAND,DOST,SRI LANKA,DIESEL,1478.0,HAMBANTOTA,BRAND NEW-L/ASSEMBLE,1,,,,DOST
SINGLE CAB,LANKA ASHOK LEYLAND,DOST,SRI LANKA,DIESEL,1478.0,GAMPAHA,BRAND NEW-L/ASSEMBLE,1,,,,DOST
SINGLE CAB,LANKA ASHOK LEYLAND,DOST,SRI LANKA,DIESEL,1478.0,KALUTARA,BRAND NEW-L/ASSEMBLE,2,,,,DOST
SINGLE CAB,LANKA ASHOK LEYLAND,DOST,SRI LANKA,DIESEL,1478.0,BATTICALOA,BRAND NEW-L/ASSEMBLE,2,,,,DOST
SINGLE CAB,LANKA ASHOK LEYLAND,DOST,SRI LANKA,DIESEL,1478.0,COLOMBO,BRAND NEW-L/ASSEMBLE,9,,,,DOST
SINGLE CAB,LANKA ASHOK LEYLAND,DOST LS,SRI LANKA,DIESEL,1478.0,GALLE,BRAND NEW-L/ASSEMBLE,1,,,,DOST LS
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,KILINOCHCHI,BRAND NEW-L/ASSEMBLE,1,,,,BOLERO CITY PICKUP
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,PUTTALAM,BRAND NEW-L/ASSEMBLE,1,,,,BOLERO CITY PICKUP
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,ANURADHAPURA,BRAND NEW-L/ASSEMBLE,1,,,,BOLERO CITY PICKUP
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,HAMBANTOTA,BRAND NEW-L/ASSEMBLE,1,,,,BOLERO CITY PICKUP
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,AMPARA,BRAND NEW-L/ASSEMBLE,1,,,,BOLERO CITY PICKUP
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,MATARA,BRAND NEW-L/ASSEMBLE,1,,,,BOLERO CITY PICKUP
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,JAFFNA,BRAND NEW-L/ASSEMBLE,2,,,,BOLERO CITY PICKUP
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,GAMPAHA,BRAND NEW-L/ASSEMBLE,2,,,,BOLERO CITY PICKUP
SINGLE CAB,MAHINDRA,BOLERO CITY PICKUP,SRI LANKA,DIESEL,2523.0,COLOMBO,BRAND NEW-L/ASSEMBLE,21,,,,BOLERO CITY PICKUP
SINGLE CAB,MAZDA,DBF-SLP2T BONGO,JAPAN,PETROL,1790.0,GAMPAHA,RECONDITIONED,1,,,DBF-SLP2T,BONGO
SINGLE CAB,MAZDA,DBF-SLP2T BONGO,JAPAN,PETROL,1790.0,KANDY,RECONDITIONED,1,,,DBF-SLP2T,BONGO
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,POLONNARUWA,BRAND NEW-L/ASSEMBLE,1,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,BATTICALOA,BRAND NEW-L/ASSEMBLE,1,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,MATARA,BRAND NEW-L/ASSEMBLE,1,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,KALUTARA,BRAND NEW-L/ASSEMBLE,1,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,HAMBANTOTA,BRAND NEW-L/ASSEMBLE,1,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,GALLE,BRAND NEW-L/ASSEMBLE,2,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,VAVUNIYA,BRAND NEW-L/ASSEMBLE,2,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,PUTTALAM,BRAND NEW-L/ASSEMBLE,2,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,COLOMBO,BRAND NEW-L/ASSEMBLE,3,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,JAFFNA,BRAND NEW-L/ASSEMBLE,4,,,,ACE HT2
SINGLE CAB,TATA,ACE HT2,SRI LANKA,DIESEL,702.0,GAMPAHA,BRAND NEW-L/ASSEMBLE,5,,,,ACE HT2
SINGLE CAB,TATA,ACE-HT2,SRI LANKA,DIESEL,702.0,COLOMBO,BRAND NEW-L/ASSEMBLE,1,,,ACE-HT2,Unknown
SINGLE CAB,TATA,ACE-HT2,SRI LANKA,DIESEL,702.0,KURUNEGALA,BRAND NEW-L/ASSEMBLE,1,,,ACE-HT2,Unknown
SINGLE CAB,TATA,ACE-HT2,SRI LANKA,DIESEL,702.0,GAMPAHA,BRAND NEW-L/ASSEMBLE,2,,,ACE-HT2,Unknown
SINGLE CAB,TATA,YODHA LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,MATARA,BRAND NEW-L/ASSEMBLE,1,,,,YODHA LIGHT TRUCK
SINGLE CAB,TATA,YODHA LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,GALLE,BRAND NEW-L/ASSEMBLE,1,,,,YODHA LIGHT TRUCK
SINGLE CAB,TATA,YODHA LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,ANURADHAPURA,BRAND NEW-L/ASSEMBLE,1,,,,YODHA LIGHT TRUCK
SINGLE CAB,TATA,YODHA LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,BATTICALOA,BRAND NEW-L/ASSEMBLE,2,,,,YODHA LIGHT TRUCK
SINGLE CAB,TATA,YODHA LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,COLOMBO,BRAND NEW-L/ASSEMBLE,2,,,,YODHA LIGHT TRUCK
SINGLE CAB,TATA,YODHA LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,JAFFNA,BRAND NEW-L/ASSEMBLE,2,,,,YODHA LIGHT TRUCK
SINGLE CAB,TATA,YODHA LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,GAMPAHA,BRAND NEW-L/ASSEMBLE,3,,,,YODHA LIGHT TRUCK
SINGLE CAB,TATA,YODHA LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,PUTTALAM,BRAND NEW-L/ASSEMBLE,3,,,,YODHA LIGHT TRUCK
SINGLE CAB,TATA,YODHA- LIGHT TRUCK,SRI LANKA,DIESEL,2956.0,ANURADHAPURA,BRAND NEW-L/ASSEMBLE,1,,,,YODHA- LIGHT TRUCK
SINGLE CAB,TATA,YODHA LIGHTTRUCK,SRI LANKA,DIESEL,2956.0,VAVUNIYA,BRAND NEW-L/ASSEMBLE,1,,,,YODHA LIGHTTRUCK
SINGLE CAB,TOYOTA,HILUX REVO,THAILAND,DIESEL,2755.0,HAMBANTOTA,RECONDITIONED,1,,,,HILUX REVO
SINGLE CAB,TOYOTA,HILUX REVO,THAILAND,DIESEL,2755.0,GAMPAHA,RECONDITIONED,1,,,,HILUX REVO
SINGLE CAB,TOYOTA,HILUX REVO,THAILAND,DIESEL,2755.0,MONERAGALA,RECONDITIONED,1,,,,HILUX REVO
SPECIAL PURPOSE VEHICLE,CAT,DP25PT,CHINA,DIESEL,3331.0,COLOMBO,BRAND NEW,1,,,,DP25PT
SPECIAL PURPOSE VEHICLE,CATERPILLAR,CATM312 EXCAVATOR,UNITED KINGDOM,DIESEL,3990.0,GAMPAHA,RECONDITIONED,1,,,,CATM312 EXCAVATOR
SPECIAL PURPOSE VEHICLE,DEVELON,SD300 WHEEL LOADER,CHINA,DIESEL,9700.0,GAMPAHA,BRAND NEW,1,,,,SD300 WHEEL LOADER
SPECIAL PURPOSE VEHICLE,FAW,CA1041P40K50EYA84,CHINA,DIESEL,2210.0,COLOMBO,BRAND NEW,1,,,,CA1041P40K50EYA84
SPECIAL PURPOSE VEHICLE,FURUKAWA,FL302 WHEEL LOADER,JAPAN,DIESEL,1500.0,GAMPAHA,RECONDITIONED,1,,,,FL302 WHEEL LOADER
SPECIAL PURPOSE VEHICLE,HINO,ADG-GX7JGWA-KAI,JAPAN,DIESEL,6400.0,COLOMBO,RECONDITIONED,1,,,ADG-GX7JGWA-KAI,Unknown
SPECIAL PURPOSE VEHICLE,HITACHI,EX125WD-5 EXCAVATOR,JAPAN,DIESEL,6500.0,PUTTALAM,RECONDITIONED,1,,,,EX125WD-5 EXCAVATOR
SPECIAL PURPOSE VEHICLE,HOWO,ZZ1258M444MBIR,CHINA,DIESEL,6870.0,COLOMBO,BRAND NEW,1,,,,ZZ1258M444MBIR
SPECIAL PURPOSE VEHICLE,HOWO,ZZ1258M44MB1R,CHINA,DIESEL,6870.0,COLOMBO,BRAND NEW,1,,,,ZZ1258M44MB1R
SPECIAL PURPOSE VEHICLE,J.C.B,3CX,UNITED KINGDOM,DIESEL,3999.0,MATARA,RECONDITIONED,1,,,,3CX
SPECIAL PURPOSE VEHICLE,J.C.B,3CX,UNITED KINGDOM,DIESEL,3800.0,BADULLA,RECONDITIONED,1,,,,3CX
SPECIAL PURPOSE VEHICLE,J.C.B,3CX,UNITED KINGDOM,DIESEL,2200.0,RATNAPURA,RECONDITIONED,2,,,,3CX
SPECIAL PURPOSE VEHICLE,J.C.B,3DX,INDIA,DIESEL,4400.0,COLOMBO,BRAND NEW,1,,,,3DX
SPECIAL PURPOSE VEHICLE,J.C.B,JCB 3CX,UNITED KINGDOM,DIESEL,3900.0,KANDY,RECONDITIONED,1,,,,JCB 3CX
SPECIAL PURPOSE VEHICLE,J.C.B,JCB3CX,UNITED KINGDOM,DIESEL,3900.0,KANDY,RECONDITIONED,1,,,,JCB3CX
SPECIAL PURPOSE VEHICLE,KOBELCO,RK70M  WHEEL CRANE,JAPAN,DIESEL,3860.0,KALUTARA,RECONDITIONED,1,,,,RK70M  WHEEL CRANE
SPECIAL PURPOSE VEHICLE,KOBELCO,RK70M-2 CRANE,JAPAN,DIESEL,4000.0,GAMPAHA,RECONDITIONED,1,,,RK70M-2,CRANE
SPECIAL PURPOSE VEHICLE,KOMATSU,510-5 WHEEL LOADER,JAPAN,DIESEL,3980.0,BATTICALOA,RECONDITIONED,1,,,510-5,WHEEL LOADER
SPECIAL PURPOSE VEHICLE,KOMATSU,FD30H-11,JAPAN,DIESEL,3261.0,GAMPAHA,RECONDITIONED,1,,,FD30H-11,Unknown
SPECIAL PURPOSE VEHICLE,KOMATSU,FD30T-14,JAPAN,DIESEL,3000.0,GAMPAHA,RECONDITIONED,1,,,FD30T-14,Unknown
SPECIAL PURPOSE VEHICLE,KOMATSU,WA100-1,JAPAN,DIESEL,4800.0,BATTICALOA,RECONDITIONED,1,,,WA100-1,Unknown
SPECIAL PURPOSE VEHICLE,KOMATSU,WA100-1 WHEEL LOADER,JAPAN,DIESEL,3900.0,BATTICALOA,RECONDITIONED,1,,,WA100-1,WHEEL LOADER
SPECIAL PURPOSE VEHICLE,KOMATSU,WA30-2 WHEEL LOADER,JAPAN,DIESEL,2200.0,PUTTALAM,RECONDITIONED,1,,,WA30-2,WHEEL LOADER
SPECIAL PURPOSE VEHICLE,MITSUBISHI,KC-FE538B,JAPAN,DIESEL,4560.0,KURUNEGALA,RECONDITIONED,1,,,KC-FE538B,Unknown
SPECIAL PURPOSE VEHICLE,MITSUBISHI,MG230 MOTOR GRADER,JAPAN,DIESEL,4900.0,ANURADHAPURA,RECONDITIONED,1,,,,MG230 MOTOR GRADER
SPECIAL PURPOSE VEHICLE,OLIFT,FB40,CHINA,ELECTRIC,32.0,COLOMBO,BRAND NEW,2,,,,FB40
SPECIAL PURPOSE VEHICLE,T.C.M,FG25T3,JAPAN,PETROL,2065.0,COLOMBO,BRAND NEW,1,,,,FG25T3
SPECIAL PURPOSE VEHICLE,TADANO,TR200M-4,JAPAN,DIESEL,6000.0,GAMPAHA,RECONDITIONED,1,,,,TR200M-4
SPECIAL PURPOSE VEHICLE,TEU,FD35T,CHINA,DIESEL,3000.0,COLOMBO,BRAND NEW,1,,,,FD35T
SPECIAL PURPOSE VEHICLE,TEU,FD40T,CHINA,DIESEL,3000.0,COLOMBO,BRAND NEW,1,,,,FD40T
SPECIAL PURPOSE VEHICLE,TOYOTA,2FD20,JAPAN,DIESEL,1600.0,AMPARA,RECONDITIONED,1,,,,2FD20
SPECIAL PURPOSE VEHICLE,TOYOTA,FDZN25,CHINA,DIESEL,2486.0,GAMPAHA,BRAND NEW,2,,,,FDZN25
SPECIAL PURPOSE VEHICLE,TOYOTA,FDZN30,CHINA,DIESEL,2486.0,GAMPAHA,BRAND NEW,2,,,,FDZN30
SPECIAL PURPOSE VEHICLE,TOYOTA,FDZN30,CHINA,DIESEL,2486.0,COLOMBO,BRAND NEW,3,,,,FDZN30
THREE WHEELER,BAJAJ,RE 4S AUTORICKSHOW,INDIA,PETROL,237.0,AMPARA,BRAND NEW,1,,,,RE 4S AUTORICKSHOW
